序号,位置,目标,扭矩,速度,电流,温度,电压
155,2628,2700,-578,55,-45,25,119,END
156,2761,2829,-542,53,-23,25,121,END
157,2890,2954,-510,51,-40,25,120,END
158,3008,3070,-494,48,-16,25,121,END
159,3119,3178,-474,45,-33,25,120,END
160,3227,3282,-438,44,-20,25,121,END
161,3328,3380,-414,40,-33,25,120,END
162,3424,3471,-374,38,-21,25,120,END
163,3511,3556,-358,34,-19,25,120,END
164,3594,3635,-330,34,-10,25,121,END
165,3670,3708,-306,30,-8,25,121,END
166,3740,3774,-270,28,-8,25,121,END
167,3802,3835,-266,25,-16,25,120,END
168,3859,3887,-226,23,-12,25,119,END
169,3910,3935,-198,20,-8,25,121,END
170,3955,3977,-174,18,-6,25,121,END
171,3994,4012,-146,15,-7,25,121,END
172,4026,4042,-130,13,-6,25,121,END
173,4052,4064,-94,10,-4,25,121,END
174,4072,4081,-70,7,-3,25,121,END
175,4085,4091,-46,5,-2,25,121,END
176,4092,4094,-10,3,0,25,121,END
177,4092,4087,47,0,2,25,121,END
178,4082,4074,64,-7,2,25,121,END
179,4065,4054,88,-7,4,25,121,END
180,4042,4028,116,-10,6,25,121,END
181,4013,3996,140,-11,4,25,121,END
182,3979,3958,172,-14,7,25,121,END
183,3937,3914,184,-17,9,25,121,END
184,3890,3863,220,-19,15,25,119,END
185,3837,3806,248,-22,11,25,120,END
186,3777,3745,256,-24,12,25,120,END
187,3710,3674,292,-27,16,25,120,END
188,3638,3598,324,-29,19,25,120,END
189,3559,3516,348,-32,22,25,120,END
190,3475,3428,384,-34,14,25,121,END
191,3385,3335,404,-38,29,25,119,END
192,3288,3235,428,-39,18,25,121,END
193,3185,3128,460,-42,12,25,121,END
194,3073,3013,480,-43,27,25,120,END
195,2956,2893,504,-48,15,25,121,END
196,2837,2770,540,-50,30,25,121,END
197,2708,2638,564,-52,4,25,121,END
198,2574,2500,596,-53,50,25,120,END
199,2432,2356,608,-58,52,25,120,END
200,2288,2208,640,-60,40,25,120,END
201,2135,2052,664,-62,22,25,121,END
202,1975,1892,660,-63,30,25,121,END
203,1822,1741,644,-61,10,25,121,END
204,1673,1597,604,-60,18,25,120,END
205,1535,1461,588,-56,25,25,121,END
206,1398,1329,552,-55,15,25,121,END
207,1269,1203,524,-52,1,25,121,END
208,1146,1084,496,-50,21,25,121,END
209,1028,968,476,-45,35,25,121,END
